Filename,Tags,Objects,Describe,Category,Logos,Faces,Landmarks,Texts
airport_2.jpg,"['building', 'person', 'indoor', 'airport', 'station', 'ceiling', 'people', 'several']","['person', 'person', 'person']",['a group of people in a large airport'],"['indoor_', 'outdoor_']",[],0,[],"['UTY', 'FREE', 'NIKE%GOLF', '4th', 'Entrancø', '1209', 'DUTY', 'FREE', 'ferDe*', 'B', 'jut.', 'ißiø']"
arrest.jpg,"['person', 'outdoor', 'sky', 'tree', 'firefighter', 'people', 'group', 'high-visibility clothing', 'clothing', 'emergency service', 'crowd', 'workwear', 'gathered']","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']",['a group of people in uniform'],['people_group'],[],1,[],"['一', '一', '10', '亠']"
capitol_1.jpg,"['tree', 'outdoor', 'person']","['person', 'person', 'person', 'person', 'person', 'person']",['a group of people holding signs in front of a white building'],"['building_', 'outdoor_']",[],0,[],"['STOP', 'a', 'oat', 'FACTORY', 'FARMS']"
casino_1.jpg,"['person', 'games', 'gambling house', 'indoor', 'room', 'indoor games and sports', 'casino', 'gambling', 'scene', 'tabletop game', 'table', 'poker', 'board game', 'poker table', 'card game', 'group', 'people', 'clothing', 'chess', 'baize', 'man']","['chair', 'person', 'person', 'chair', 'person', 'person', 'dining table']",['a group of people around a table'],['people_many'],[],4,[],[]
protest_3.jpg,"['person', 'outdoor', 'sky', 'clothing', 'standing', 'woman', 'people', 'handwriting', 'group', 'street', 'man', 'text', 'poster', 'crowd']","['Luggage and bags', 'person', 'person', 'person', 'person', 'person', 'person']",['a person holding a sign'],"['people_crowd', 'people_group']",[],0,[],"['IT', 'ALLI!', 'POLICING', 'FLICK', 'Nxpo;', 'a,dCkUVEg', 'i.creases', '""lice', 'nAr•usH', 'Foe', 'DEfl)ND', 'Lives', 'THE', 'Matte-', 'n', 'your']"
riot_1.jpg,"['person', 'outdoor', 'clothing', 'parade', 'man', 'hat', 'fashion accessory', 'group', 'people', 'crowd', 'line', 'event', 'several']","['person', 'person', 'person', 'person']",['a group of people in military uniforms'],['people_crowd'],[],0,[],[]
riot_2.jpg,"['sky', 'outdoor', 'person', 'clothing', 'group', 'people', 'firefighter', 'dance', 'crowd']","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']",['a group of people running on a street with smoke coming out of their mouths'],"['outdoor_', 'people_group']",[],4,[],[]
station.jpg,"['text', 'clothing', 'person', 'floor', 'footwear', 'man', 'woman', 'door']","['footwear', 'person', 'person', 'person', 'person']",['a group of people standing outside a building'],"['abstract_', 'outdoor_']",[],0,[],"['i?iiu', 'HARLEM', 'LINE', 'DEPARTURES', 'TIME', 'TRK', 'DESTINATION', 'REMARKS', '00UER', ""PLRINSLRU'LU"", 'STOP', ""'1:05"", '•U.30', 'ZO', 'N', 'NHITETLRINS0\'HELR03E.+""5T\'STOP', ""FOROHflH.fi15T'STOP"", 'v,METRQ-NQRTH', 'TICKETS']"
subway.jpg,"['person', 'musical instrument', 'clothing', 'people', 'violin', 'cello', 'saxophone', 'music', 'dressed']","['headwear', 'Musical instrument', 'Jeans', 'person', 'person']",['a group of people on a subway train'],[],[],0,[],[]
autopalo.jpg,"['firefighter', 'outdoor', 'sky', 'fire', 'smoke']","['Land vehicle', 'person', 'Land vehicle', 'person']",['firefighters putting out a fire'],"['abstract_', 'others_', 'outdoor_']",[],0,[],['10']
delivery.jpg,"['building', 'outdoor', 'street', 'city']","['traffic light', 'traffic light', 'person', 'person', 'person']",['a person carrying a cart on a street'],"['abstract_', 'building_', 'others_', 'outdoor_']",[],0,[],"['öM08', '0', '0']"
delivery_2.jpg,"['person', 'outdoor', 'text', 'clothing']","['book', 'Jeans', 'person']",['a person loading boxes into a truck'],"['abstract_', 'others_', 'outdoor_']",[],0,[],[]
fire.jpg,"['fire', 'smoke', 'hydrant', 'firefighter', 'steam', 'flame', 'outdoor', 'coming', 'engine', 'burn', 'bonfire', 'throwing', 'explosion', 'stack', 'pile', 'dark', 'clouds']",['person'],['a firefighter spraying water'],['outdoor_'],[],0,[],[]
suojatie.jpg,[],[],['a large group of people walking on a street'],"['abstract_', 'abstract_net']",[],0,[],[]
keikka_yo.jpg,"['concert', 'music', 'live music', 'gig', 'band', 'light']",[],['a crowd of people at a concert'],"['outdoor_', 'people_show']",[],0,[],[]
konsertti.jpg,"['indoor', 'furniture', 'table', 'people', 'person', 'chair', 'building', 'hall', 'dining room']","['chair', 'chair']",['a group of people sitting in a room with a stage and a large screen with a crowd of'],"['outdoor_', 'people_show']",[],0,[],[]
museo_1.jpg,"['floor', 'indoor', 'dog', 'carnivore', 'animal', 'looking', 'mammal', 'staring']","['person', 'person', 'dog']",['a framed picture of a person and a girl'],['others_'],[],0,[],['DamaAzul']
